"","LAKEID","LONGITUDE_DD","LATITUDE_DD","Area_ha"
"432","L73021",-78.85472,44.17194,8255.6
"433","L13191",-90.88778,49.45861,958.1
"434","L13192",-90.35861,50.07444,10736.9
"435","L15230",-92.93472,51.31722,717.9
"436","L22189",-85.92056,49.96667,755.2
"437","L54185",-78.79167,44.71472,320.2
"438","L37013",-85.68917,54.165,866.7
"439","L66210",-76.6875,44.76833,819.7
"440","L23136",-89.46944,50.25917,849.9
"441","L66212",-77.0525,44.91222,188.4
"442","L25280",-90.30139,48.645,5905.2
"443","L66213",-77.01083,44.59306,95.8
"444","L34236",-85.085,49.09,769.4
"445","L41290",-83.59167,46.58611,129.8
"446","L36345",-80.64583,47.76556,136
"447","L14236",-93.905,49.9725,558.7
"448","L15234",-93.37556,51.75389,883.9
"449","L14237",-94.17833,49.87639,2649.1
"450","L16287",-90.35306,50.41167,158.6
"451","L85041",-81.41833,44.08556,68.5
"452","L54187",-78.79944,44.68417,61.2
"453","L16289",-91.25833,50.16361,655
"454","L66219",-77.25222,44.8425,1225.7
"455","L55215",-80.24667,45.85222,199.4
"456","L16296",-90.34417,50.36972,281.5
"457","L14242",-94.68861,50.19528,263.1
"458","L23140",-88.89194,50.06917,222.1
"459","L44183",-83.66583,47.07194,214.4
"460","L47349",-83.88694,48.455,111.2
"461","L61056",-76.22167,44.43417,219.8
"462","L14246",-95.05778,49.93833,438.3
"463","L13202",-91.19722,49.54917,3718.6
"464","L25289",-90.17694,49.81417,1266
"465","L71063",-79.38806,44.81417,1123.9
"466","L42193",-82.38139,46.67694,162.2
"467","L37015",-85.01361,54.33444,1033.3
"468","L36361",-79.71083,47.96306,488.9
"469","L71027",-79.32472,44.68722,619.3
"470","L73045",-78.09111,44.56722,2824.9
"471","L11202",-92.3075,49.38972,2441.2
"472","L47357",-84.96389,48.7475,226.2
"473","L13208",-90.76861,49.97472,21412.7
"474","L73046",-78.71167,44.46611,4495.1
"475","L25295",-90.51778,48.22722,543.9
"476","L11206",-93.55833,50.30389,679.1
"477","L31278",-82.56444,48.46944,67.1
"478","L64066",-76.55722,44.42472,701.7
"479","L11207",-93.29722,49.465,531
"480","L71065",-79.65167,44.87472,129.6
"481","L46145",-80.07944,47.00639,22653.7
"482","L11211",-92.88111,50.17139,1560
"483","L21213",-91.20861,48.1625,314.1
"484","L21214",-92.28778,48.385,954.8
"485","L11212",-92.66556,49.77722,1123
"486","L14260",-93.97722,50.33639,1350.2
"487","L25308",-90.5275,48.35472,959.5
"488","L47367",-85.15472,49.05139,865
"489","L14261",-94.06417,50.03639,56.2
"490","L16324",-89.19889,52.055,2775.9
"491","L15261",-93.30917,51.19861,34806.9
"492","L43187",-79.32444,46.31444,1673.4
"493","L21216",-91.94806,48.94806,1153.4
"494","L41327",-82.66694,46.27167,142.9
"495","L16328",-92.46778,52.0775,333.9
"496","L54208",-78.70611,45.02528,336.5
"497","L11221",-92.79528,49.40694,5191.1
"498","L15270",-94.05944,50.89556,1072.8
"499","L44208",-84.62,47.10556,92.2
"500","L13215",-91.54889,49.62306,936.9
"501","L12206",-93.07833,49.06361,562.5
"502","L42211",-81.58556,46.29083,570
"503","L11222",-93.16861,50.39194,6192.7
"504","L23155",-88.99028,50.07917,1755.6
"505","L31291",-82.85083,47.48944,1713
"506","L41335",-83.36083,46.56694,2468.7
"507","L42212",-81.50833,46.19944,339.3
"508","L25327",-89.07639,49.04556,97
"509","L11227",-92.35056,49.32222,1651.8
"510","L16344",-92.34528,50.5575,2366.4
"511","L13220",-90.13917,50.04778,3116.3
"512","L44214",-83.78722,46.98389,50.2
"513","L46297",-79.89444,46.93194,601
"514","L12208",-93.5725,48.74694,167.1
"515","L32342",-80.18694,49.43222,162.9
"516","L36391",-80.57694,48.23694,2267.1
"517","L15277",-92.69778,51.57861,829
"518","L47387",-84.72167,48.01278,677.4
"519","L25332",-90.55194,49.42639,2021.5
"520","L23158",-89.09889,50.12361,1210.8
"521","L22230",-88.6275,51.26139,1254
"522","L25335",-90.35889,48.33056,1363.9
"523","L66254",-77.43111,45.03056,1955.4
"524","L47389",-85.04583,48.26056,1556.6
"525","L42217",-82.33556,46.43972,916.6
"526","L47391",-85.63556,48.76944,5888.5
"527","L63114",-76.52028,45.31,2356.4
"528","L21228",-91.88139,49.11111,8249
"529","L24172",-85.54694,49.47472,448.9
"530","L14284",-95.03944,49.78917,220
"531","L25342",-89.99861,48.21722,3015
"532","L15280",-92.72778,50.84167,1227.7
"533","L11234",-92.62056,49.53194,110.2
"534","L43206",-79.68167,46.76194,1312.8
"535","L22233",-87.24306,49.385,466.5
"536","L22234",-87.16389,49.73472,1738.5
"537","L11239",-93.81028,49.80722,95.8
"538","L16352",-91.54139,52.57861,8009.2
"539","L14291",-95.06111,50.645,822.5
"540","L11241",-93.70056,49.75889,2631.5
"541","L13228",-91.31194,49.72889,1708.2
"542","L22236",-87.27278,49.43722,1665.2
"543","L47396",-83.93361,48.59194,119.1
"544","L14296",-94.55889,50.51611,257.3
"545","L54221",-79.15778,44.7125,93.1
"546","L35187",-82.67833,49.70167,663.6
